"sampleid","DISEASE","IFI6","MX1","NMI","OAS3","OASL","SAMD9","UBE2L6"
"GSM1509673",1,0.316040743787425,0.357858022331832,0.227040305903637,0.236436322812503,0.266550868255019,0.236557587759802,0.323566928563596
"GSM1509674",1,0.350885385295264,0.374733677657721,0.236576716525254,0.261256050887213,0.314499109275182,0.274151993416056,0.3363847210599
"GSM1509675",1,0.331923798942158,0.365664511021133,0.23958168639155,0.244093778666541,0.304472892480733,0.241808647834868,0.313741113242727
"GSM1509676",1,0.360537746223659,0.367967998264884,0.238127563394,0.250831422609818,0.318295988107667,0.27020578572318,0.322448019821573
"GSM1509677",1,0.375902970776013,0.377669757876937,0.243914442960771,0.26777139645876,0.339107294648835,0.275645875524279,0.344935907490175
"GSM1509678",1,0.370219818967505,0.374059141482409,0.244904621729136,0.265041318510631,0.343403052333167,0.277535904849321,0.33347428907429
"GSM1509679",1,0.380235281083081,0.369316124695191,0.248707167385367,0.26630708615814,0.358997218931097,0.279076412210863,0.338930934765968
"GSM1509680",1,0.363025624693586,0.377203863869195,0.250800076852585,0.264406561502882,0.350918396420559,0.278389610440884,0.33678001377533
"GSM1509681",1,0.231723653897341,0.317214720829209,0.227882641369266,0.142563916665835,0.217621377965417,0.184470691257825,0.296889017071981
"GSM1509682",1,0.220092664809205,0.322943069922556,0.224251432625191,0.173017100532441,0.214623316626626,0.200954730295481,0.295859077864439
"GSM1509683",1,0.223795950106556,0.315709940681539,0.225695748372325,0.148095270924152,0.198381141867462,0.185354628946847,0.290620824267331
"GSM1509684",1,0.35475826252557,0.37444699647161,0.246632249430896,0.262640395781464,0.317897208021651,0.265398782984436,0.327097583012372
"GSM1509685",1,0.338604113190398,0.372713576201358,0.242830420653444,0.252243021757017,0.297799993866764,0.260485197137993,0.314058931122044
"GSM1509686",1,0.389010799107461,0.379749554709646,0.261298410043182,0.279283910265359,0.355624792787367,0.315020011021715,0.346831368691998
"GSM1509687",1,0.40542154567496,0.392931466475385,0.259879275961977,0.295188451399892,0.394976063402759,0.347444030587272,0.359653666746393
"GSM1509688",1,0.368442098250536,0.376576054764134,0.243590194037661,0.260989152942409,0.335032473217379,0.27769841783757,0.329845550509566
"GSM1509689",1,0.34782774549569,0.378963104632684,0.24437428669552,0.268768618065731,0.335703758983826,0.284306980894924,0.326310688403721
"GSM1509690",1,0.355778217360669,0.368207441537456,0.233742838129221,0.25868686409513,0.327050360785691,0.267723124953523,0.322846098901072
"GSM1509691",1,0.292976449729066,0.334801238330066,0.222269870213118,0.187851174584124,0.228475603317073,0.209815680647886,0.296058650466538
"GSM1509692",1,0.150958148451456,0.267072588848107,0.21934550157324,0.0618955780938862,0.156210996826758,0.154538493712455,0.24458013191534
"GSM1509693",1,0.318813705314977,0.356283520304152,0.219437129283074,0.239048700851941,0.275542060768826,0.231373386950131,0.317717728720866
"GSM1509694",1,0.336474001010396,0.354302427327362,0.237872959215247,0.244559821269255,0.2662334558054,0.274446164267807,0.315690589108151
"GSM1509695",1,0.355456780312729,0.381490224971239,0.250833258637591,0.272475136378889,0.352346626034803,0.302783809622614,0.333229011399831
"GSM1509696",1,0.345586922894415,0.379368028213027,0.245391979365462,0.267861695606363,0.340743918949616,0.284070391092983,0.333482672903421
"GSM1509697",1,0.355896738026857,0.370171062127182,0.236784264199644,0.259493054324034,0.335245310979112,0.281854086401955,0.327664147297271
"GSM1509698",1,0.123118819970777,0.302279299967084,0.17820184232738,0.16219659692033,0.131653818103913,0.18142387841876,0.268441096274934
"GSM1509699",1,0.323284322557805,0.355523463470654,0.225033856607631,0.236772364061923,0.256286224925863,0.239350041098395,0.30596850303449
"GSM1509700",1,0.401744555127281,0.37929097558742,0.244579736181361,0.274725063961547,0.348516433047392,0.297099001025104,0.344261975850533
"GSM1509701",1,0.400142146097234,0.384328588166405,0.255266938544732,0.278476365423182,0.354047416573529,0.292091705542116,0.349045231556792
"GSM1509702",1,0.394165584159949,0.379017681403248,0.257755391176536,0.27160352200916,0.364227613225802,0.297582514020513,0.337119804249752
"GSM1509703",1,0.394644379557169,0.381736240397781,0.25091504549033,0.276736597548841,0.358191367877957,0.296798739123376,0.341043342115981
"GSM1509704",1,0.335436354799063,0.364793272437792,0.240460813489041,0.235886726394426,0.284293102630835,0.256878093378645,0.331976170810297
"GSM1509705",1,0.353524092026524,0.373130737778631,0.241466617099776,0.26086088237226,0.333562760354908,0.305936393397137,0.325578249110325
"GSM1509706",1,0.344383303760975,0.366913935356432,0.237587559089627,0.250288609499262,0.299502516395857,0.24942288364912,0.321419110686394
"GSM1509707",1,0.383185784074389,0.381839471935792,0.249222996071191,0.276202513197284,0.357088170306873,0.30419839353134,0.345415073618456
"GSM1509708",1,0.373011176117344,0.379819706754259,0.248065494138098,0.264722818038527,0.34201630826166,0.276149188826344,0.332968100307625
